Category;Category_Description;Attribute;concept;Human_Description;Annotation_Guideline;Normalization_params;Normalization_instruction;Normalization_Function_Description;Data_Types;Normalized_Datatype;Unique Values Count (target_scores);NA Values Percentage (target_scores);Unique Values List (target_scores)
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Processor Quantity;processor ;The 'Processor Quantity' attribute refers to the number of physical processors present in a computer system. Each processor can contain one or more cores. Thus, a system with multiple processors could potentially have a very high number of cores. Usual computers have one (1) processor, High-Performance Computing can two (2) or more.;* Solely annotated as digits. Sometimes mentioned as [digit]P -> redundant;None;None;None;"[""Numeric""]";None;6;92,43;4, 1, 8, n/a, 3, 2
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Bus Speed;performance;"The 'Bus Speed' attribute refers to the speed at which data is transferred within the computer system, especially in processors and memory components. It is measured in megahertz (MHz) or gigahertz (GHz). The term ""bus"" refers to the physical and logical pathways through which data signals travel. A higher bus speed means data can be transferred more quickly between the processor, memory, and other components.";* Measured in MHz, only applicable to CPUs. It does not apply to the data transfer rate found in Hard Drives and Storage Units.;None;None;None;"[""Numeric with Unit""]";None;5;98,17;400MHz, 533MHz, n/a, 800MHz, 133MHz
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Thermal Design Power;performance;The 'Thermal Design Power' attribute, particularly for processors and graphics cards, is a crucial specification that indicates the maximum amount of heat a component is expected to generate under standard workload. It is measured in watts (W) and represents the maximum amount of heat that a computer component (like a CPU or GPU) will generate under the most intense operational conditions that are expected during regular use.;* annotated as [digit]W;None;None;None;"[""Numeric with Unit""]";None;14;92,2;65W, 80W, n/a, 130W, 95W, 110W, 92W, 115W, 103W, 103w, 68W, 0,6W, 105W, 89W
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Clock Speed;performance;The 'Clock Speed' attribute is a critial specification that indicates the speed at which the processor operates. It is a key indicator of a computer's performance. It is measured in measured in gigahertz (GHz) -  it indicates how many cycles of operation a CPU can perform per second. Higher clock speeds generally mean a processor can perform more tasks in a given time frame.;* See Bus Speed;None;None;None;"[""Numeric"", ""Numeric with Unit""]";None;58;76,64;2.83GHz, 2.5GHz, 3.2GHZ, 2.0X, 2.8GHz, 2.0GHz, 3.2GHz, 1.9GHz, 3.00GHz, 2.13GHz, 2133MHz, 3.5GHz, 2.8X, 800MHZ, 800X, 1GHz, 3GHz, 2.93GHz, 550MHz, 2.4, 2.5-GHz, 2.26 GHz, 266Mhz, 2.6GHz, 2.2GHz, 2.26GHz, 3.6GHz, 3.40GHz, 2GHz, 2.66GHz, 100mhz, 3.20GHz, 1.8GHz, 2.4X, 800, n/a, 2.00GHz, 933MHz, 2.40GHz, 1.60GHz, 2.4GHz, 266MHz, 350MHz, 900MHz, 600MHz, 1.4Ghz, 3.80Ghz, 2.13 GHz, 2.33 GHz, 1.86GHz, 1.8G, 3.0MHz, 2.53GHz, 100 MHz, 3.4GHz, 2.4 GHz, 3.0GHz, 3.80GHz
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Rotational Speed;performance;The 'Rotational Speed' attribute typically refers to the speed at which the platters inside a hard disk drive (HDD) spin. This speed is an important performance characteristic for HDDs. Rotational speed is usually measured in revolutions per minute (RPM).;* Includes RPM if applicable, most often solely mentioned with [digit]k.;[Numeric Standardization];Extract the Rotational Speed value as a single numeric value. If it is given in 'K' (thousands), convert into a full numeric value.;"Consider the following pseudo code which could help you in normalizing the Rotational Speed as a single numeric value:
def convert_rotational_speed_to_numeric(value):
    # Convert K values to thousands and remove 'RPM'
    value = re.sub(r'(\d+(\.\d+)?)(\s?K)', lambda x: str(int(float(x.group(1)) * 1000)), value, flags=re.IGNORECASE)
    value = re.sub(r'\s?RPM', '', value, flags=re.IGNORECASE)

    return value";"[""Numeric"", ""Numeric with Unit""]";Numeric;12;56,39;15K, 5.4K, 7.2K RPM, 10000RPM, 7.2K, 7200 RPM, n/a, 10K, 5400 RPM, 5.9K, 7200RPM, 5900RPM
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Manufacturer;identification;The 'Manufacturer' attribute refers to the company or entity that produces the items from Home and Garden.;* See Manufacturer Computers And Accessories;None;None;None;"[""Name"", ""Abbreviated Name"", ""Abbreviated And Full Name""]";None;111;0;Duke, General Supply, Gojo, Berkel, Focus Foodservice LLC, Hoshizaki, Mayline, Tork, Safco, Jasper Conran at Wedgwood, Montague Company, GE Monogram, Ice-O-Matic, Alto Shaam, Reckitt Benckiser, LYSOL Brand, Pactiv, Vera Wang Wedgwood, Inteplast, Eurodib, Eco-Products, HON, Waring, Royal Industries, Star, Beverage Air, John Boos, Syracuse China, Focus, Ambella Home, Lathem, SC Johnson, Perlick, Scotsman, APW Wyott, Randell, Channel, Montague, Alera, Bush, Jaguar Plastics, Federal, Krowne, Read Right/Advantus, Waterford, Trend Enterprises, Carlisle, Webster, Kimberly-Clark, Monogram, Cadco, AccuTemp, John Rocha at Waterford, Anchor Hocking, Electrolux Professional, Star-Max, MagiKitch'N, Blodgett, Turbo Air, Toastmaster, Crown Mats & Matting, Woodard, Cambro, BALT, Rockefeller, Maytag, Furinno, Better Life, AmRep, Kleenex, Advance Tabco, Follett, Insinger, Delfield, New Age, Vulcan, 3M, Riverside Paper, Equipex, Wedgwood, Rubbermaid Commercial, Royal Albert, San Jamar, Pak-it, MVP Group, Bon Chef, Crescor, Accutemp, Alto-Shaam, Advantus, Sun Products, Edlund, Bunn, Floortex, Chartpak, Ice-O-matic, Garland, PAK-IT, Monique Lhuillier Waterford, Elkay, Southbend, Rubbermaid, HP, Nemco, Bunn-O-Matic, Dinex, Ex-Cell Metal, Zep, Royal Doulton, GOJO, Food Warming Equipment
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Product Type;identification;The 'Product Type' attribute can be seen as a subcategory of the product.;"* Longest Substring Rule witout adding details about the features or advertisement slang of the product (E.g. ""Gas Range"", not ""2-Burner Gas Range"", ""Worktop Freezer"", not ""Super Deluxe Worktop Freezer"")";[Product Type Generalisation];"Give the product type as EXACTLY ONE of the following:
'Food and Drink Preparation and Cooking Equipment',
 'Ice Machines, Bins and Makers',
 'Food and Beverage Storage, Dispensers, Serving, Display and Refrigeration',
 'Tableware',
 'Smokers Equipment',
 'Dishwashers and related Equipment',
 'Cleaning, Sinks, Maintenance Equipment and Trash Disposal',
 'Carts, Dollies and Transportation',
 'Furniture, Storage, Racks and Fixtures',
 'Office and Organizational Supplies',
 'Accessories, Miscellaneous'";"* Food and Drink Preparation and Cooking Equipment: Encompasses a range of items including Charbroilers, Gas Griddles, Convection Steamers, Microwaves, Toasters, Food Slicers, and various other appliances and tools used for cooking or preparing food and drinks in both domestic and commercial settings.
* Ice Machines, Bins and Makers: This category covers equipment related to ice production and storage, such as Modular Cube Ice Makers, Undercounter Ice Machines, Ice Bins with Chute Doors, and other devices designed to produce, store, or dispense ice.
* Food and Beverage Storage, Dispensers, Serving, Display and Refrigeration: Includes items like Refrigerated Beverage Cabinets, Tea Dispensers, Open Air Coolers, Heated Deli Display Cases, and other refrigeration and serving equipment used to store, display, and serve food and beverages.
* Tableware: Comprises a variety of dining and serving utensils such as Bread & Butter Plates, Wine Glasses, Mugs, Cutlery, Bowls, and other items essential for table service and food presentation.
* Smokers Equipment: Focuses on items related to smoking, including Ashtrays, Smoking Receptacles, Cigarette Disposal Units, and related accessories for accommodating smokers in public and private spaces.
* Dishwashers and related Equipment: This category includes Dishwashers, Dishwasher Racks, Dishwasher Tabs, and other related equipment and accessories used for cleaning and sanitizing dishes and utensils.
* Cleaning, Sinks, Maintenance Equipment and Trash Disposal: Encompasses a broad range of cleaning supplies and equipment such as Disinfectant Wipes, Sinks, Hand Sanitizers, Trash Cans, and other tools and products used for maintaining cleanliness and hygiene in various environments.
* Carts, Dollies and Transportation: Includes various types of carts and dollies like Food Carts, Utility Carts, Tray Carts, and others, designed for transporting goods, equipment, and supplies in a convenient and efficient manner.
* Furniture, Storage, Racks and Fixtures: Covers a wide array of furniture and storage solutions including Shelving Units, Work Tables, Bookcases, Racks, and other furniture and fixtures used for storing, displaying, and organizing items.
* Office and Organizational Supplies: This category is dedicated to office supplies and organizational tools, encompassing items like Tapes, Workstation Accessories, Motivational Prints, and other supplies that facilitate office work and organization.
* Accessories, Miscellaneous: A diverse category that includes a variety of accessories and miscellaneous items like K-Mat Sponge Floor Runners, Decorative Items, Mirrors, Bath Mats, and other non-categorized items useful in various settings.";"[""Free Text""]";Free Text;379;0;Iced Tea/Coffee Dispenser, Flat Countertop, Undermount Sink, Sugarcane Bowls, dishwasher tabs, CamKiosk Cart, Waste Basket, Panini/Clamshell Grill, Surface Sanitizer, Champagne Flute, Urn with Weather Shield, All Purpose Racks, Mixer, Tractor Cart, Hotplate, Beverage Dispenser, tissue, Fireplace Screen, Regal Tray, Convection Steamers, Floor Mat, chair mat, Camshelves, Cube Ice Dispenser, Bookcase, Electric Griddles, Ice Maker, Classic Container, freezer refrigerator with Icemaker, Gas Griddles, Bath Mat, Beverage Table, Countertop, Economy Work Table, Dishwasher Rack, Trash Cart, Oxi-Active Stainlifter, Teapot, Pepper Shaker, Dolly Rack, Cube Ice Machine, Waste Container, Back Bar Cabinet, Refrigerated Beverage Cabinet, Work Table, display/storage rack/bookshelf, Water Cup Dispenser, Butcher Block, Cold Food Bar Work Table, Ice Bin/Bottle Section, Shelving Unit, Pedestal Commercial Hand Sink, Caster, Laundry Detergent, Steam Pan, Louvered Shelving Unit, organizer hutch, Section Bar Refrigerator, Ashtray, Kitchen Trash Bags, Wipes, Tralee stemware, Camshelving Mobile Starter Unit, Bins, Undercounter Refrigerator, Hot Plate, Refrigerated Back Bar Storage Cabinet, Platter, Commercial Microwave, Convection Oven, Underbar Trash Station, jumbo roll bath tissue, Time Calculating Recorder, accessories, Plate, Carpet/Upholstery Spot/Stain Remover, Dish Caddy, Wine Shelving Kit, Floor Shine Cleaner, Gas Range, Bakeware Set, restaurant range, Dishtable, Food Bars Work Table, Tumbler, Booster Seat, Tralee Old Fashioned, European Steak Knife, Candelabra, Graphic Chart Tape, lotion soap, Shelving Unit, Wine, Pot & Pan Washer, Cart, Transport Utility, Scullery Sink, Beverage Carrier, Hard Roll Towel, Cup Rack, Six Hook Metal Costumer, Jumbo Roll Bath Tissue, Coffee Satellite, Workstation Desks, Hard Roll Towels, Drawstring Kitchen Bags, Coffee Brewer, Camshelving Elements Mobile Starter Unit, Smoking Receptacle, Service Cart, Frozen Drink Machine, Countertop Steamer, glass cleaner, Ice Maker/Water Dispenser, Underbar Glass Storage Unit, Pass-thru Ice Chest, Carriers, Camrack PlateSafe, Goblet, Replacement Filter, dishwasher, Fireplace Surround Décor, Sanitizing Hand Wipes, storage for books, Medical Containers, Base Rack, Heavy Duty Microwave Oven, Fryer, Platform Truck, Camdolly with Handle, Motivational Print, Underbar Ice Bin, Drawstring bags, Rack Compartment, bathmat, Table Top, Add-On Shelving Unit, Meal Delivery Cart, Utility Cart, Scraper Mat, Outdoor Scraper Mat, Charbroilers, Container, Undercounter Crescent Cube Ice Maker, Camrack Glass Rack, Raised Liquor Display Unit, Under Bar Glass Storage Unit, Step Can, Can Liners, Stem Caster w/ Brake, Wire Shelf, Char-Rock Broiler, Shelving, Refrigerated Low-Profile Equipment Stand, Under Bar Beer Drainer, Glass Rack Storage Unit, Regal Trays, Post, Utility/Tray Delivery Truck, Sanitary Napkin Receptacle, Plastic Liner Bags, Toaster, Scale, Folding Table, Oven and Grill Cleaner, Griddle, Dishwasher Tabs, Camshelving Elements Add-On Unit, Shot Glass, Heated Deli, Indoor Receptacle, Shot Glasses, Ice Bin with Chute Door, Economy Shelf, Sparkle Terrific Trimmers, Delivery Cart, Ice Cream Bowl, Clean Dishtable, Under Bar Freestanding Drainboard, Mirror, Recycle Bin, Countertop Drink Blender, Pass-Thru Perlick Station, Cordial, Ice Bagger, Heavy Duty Range, Camdolly, Ice Maker/Dispenser, Dishwasher, Stemware, Salad Plates, Bowl, Salad Plate, Transportable Gas Grill, Pneumatic Lift Lab Stools, Degreaser/Cleaner, Drop In Griddles, Ash/Trash Receptacle, Food Slicer, Case Deli, Hand/Body Wet Wipe, Food Cart, Display Case, Heated Deli, Countertop, Waste Container w/dolly, Wall Mounted Shelving, Ice Storage Bin, Serving Counter, Cold Food, Cup Dispenser, Toaster Pop-Up, Sinks, Tea Dispenser, Goblets, Vase, seat, Paper Towels, Red Wine glass, Chair Mat, Urn Cigarette Receptacle, Restaurant Range, Boiler, Time recorder, Open Air Cooler, Mugs, Bread & Butter Plate, Tray Cart, Camshelving Add-On Unit, Bus Cart, Pass-Thru Back Bar Refrigerator, Multipurpose Shelf, Countertop Cube Ice Dispenser, Refrigerator, Trash Bags, Bun Pan Rack Cabinet, Commercial Hand Sink, mirrors, Ice Chest, Coffee Server, Food Pan, Glass Cleaner, Serving Bowl, Camshelving, Bath Tissue, Disinfecting Wipes, Transport Cabinet, Two Drawer Lateral File, Trash Can, Poster Board, Ash Tray Receptacle, Charbroiler, Workstation Accessories, kitchen and bath scrubber, Hand Sink Unit, Camdolly for Camcarriers, bag, Refrigerator Rack, Roll-In, Countertop Gas Fryer, Steam Table Pan, Hand Cleaner, Convection Steamer, Worktop Freezer, Dish Cart, Plastic Liner Bags for Sanitary Napkin Receptacles, Underbar Ice Bin/Cocktail Station, Underbar Ice Bin/Cocktail Unit, Countertop Heated Display Case, Add-On Unit, Oven Basics set, vase, Liquid Drain Cleaner, Corner Desk, Food Carrier Dolly, Hand Sanitizing Wipes, Glass Rack, Hiball, Disinfectant/Cleaner, High-Power Blender, Wire Shelving, Butcher Block Unit, Hard Roll Paper Towels, Underbar Hand Sink Unit, Marmite, Corner Work Table, Plastic Step Trash Can, Professional knives, Ice Bin, Champagne Flutes, Knife Block Set, Tray & Silver Cart, Sinks with Drainboard, Outdoor Decorative Trash Can, Folding Banquet Table, Pole Cigarette Receptacle, Radiant Charbroiler, Two-Drawer Lateral File, Soup Chafer Marmite, Decanter, Racks, Vending Merchandising Kiosk, Shelf, wire, Hot Dog Bun / Roll Warmer, Presentation Cart, Refrigerated Backbar Storage Cabinet, disinfectant spray, Ice Maker With Bin, Countertop Food Warmers, Cateraide Dolly, Economy Hand Sink, Ice Bin for Machines, Char-Broiler/Oven, Countertop Griddle, Cordial glasses, Brandy Glass, Microwave Shelf, tape, Cigarette Receptacle, Automatic Brewers, Heated Deli Display Case, Smokers' Station, Bookcases, K-Mat Sponge Floor Runner, Range, Camshelving Drying Rack, Dishwasher Rack, Glass Compartment, Camshelving Elements Starter Unit, Disinfectant Spray, Dolly, Dishwasher Rack, Mug, Sandwich / Panini Grill, Office Air Cleaner, tasting glasses, Camshelving Shelf Plate Kit, Heat Deli Display Case, can liners, Sink, undermount, Commercial Planetary Mixer, Shelf, Undercounter Nugget Ice Maker, dinnerware, Dolly, Organizer Hutch, Drain Cleaner, Equipment Stand, mobile, Floor Track Shelving Unit, Ranger Container, Fabric Spot Remover, Sink, Backbar Cabinet Refrigerated Beverage, Waste Receptacle, bags, Cube Ice Maker, Six-Hook Metal Costumer, Slicer, cleansing scrubber, Specialty Display Hybrid Merchandiser, Under Bar Storage Unit w/ Sink, Shelving Accessories, Commercial Trash Can, Trash Can Top Cigarette Receptacle, Moist Heat Bun/Food Warmer, Serving Buffet, cold food, Mixers, Butcher Block Stand, Drain Board, Outdoor Grill, boards, Enclosed Work Table, Grills, Equipment Stand, Kitchen Sink Cleansing Scrubber, Dunnage Rack, Modular Cube Ice Maker, fireplace screen, Roll-In Refrigerator, Office Air Cleaners, Coasters, Salt / Pepper Shaker, Dinner Plate, Worktable, bookcase, Underbar Blender Station, Salt Shaker, Trash Receptacle, Oven Basics
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Width;dimensions;The 'Width' attribute determines the width of the product. It can be measured in inches, cm, feet or meters. For circular items, the diameter can be seen as its width.;"* If unit is provided, its added
* Do not include ""W"" identifier -> redundant ";[Unit Conversion];"Convert and standardize the Width measurement to centimeters (cm). 
If the width is not already in cm, convert it from inches, mm, meters, yards, or feet to cm.
If no unit is specified, assume the measurement is in inches.
For width ranges, use the larger value in the range for conversion.
Output the final width value as a single numeric figure in cm, rounded to one decimal place.
Exclude any unit indicators in the output.";"1 inch = 2.54 cm
1 foot = 30.48 cm
1 yard = 91.44 cm
1 mm = 0.1cm
1 m = 100cm";"[""Numeric"", ""Numeric with Fraction"", ""Numeric with Decimal"", ""Numeric with Unit"", ""Numeric with Fraction with Unit"", ""Numeric with Decimal with Unit"", ""Free Text""]";Numeric with Decimal;95;32,28;"21-1/4"", 108"", 72"", 11-3/8"", 39"", 108, 34-1/2"", 19-3/4"", 31-1/2"", 21, 19"", 48, 14-1/2"", 9-7/8"", 9 1/2, 3.6"", 34"", 21"", 4-7/8"", 18"", 96"", 60"", 42"", 27cm, 96, 7.87, 30"", 48"", 25.8125"", 3-1/8"", 18.5"", 47-1/4, 10-1/4"", 12, 3-7/8"", 42-1/2"", 29.8125"", 70 5/8, 18, 34-1/2, 1-3/4"" to 2-1/2"", 47 1/4, 11.375"", 46.5"", 15"", 33-1/2"", 23-3/8"", 33"", 20cm, 14"", 2-15/16"", 22"", 12"", 38, 4-3/8"", 24"", 1/16"", 16, 2-7/8"", 5, 35-1/2"", 23.8125"", 40"" - 48"", n/a, 35"", 2-1/4, 35, 144"", 16"", 10"", 3', 13-1/2"", 62-1/4"", 6"", 60 inch, 27"", 20"", 22-1/2"", 24, 5-7/8"", 9"", 10-1/2"", 26, 120"", 8in, 11-3/5"", 30, 29"", 36"", 5 7/10, 26-5/8"", 16-1/4"", 26"", 3-1/2"", 48-in"
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Length;dimensions;The 'Length' attribute determines the lengthof the product. It can be measured in inches, cm, feet or meters.;"* If unit is provided, its added
* Do not include ""L"" identifier -> redundant ";[Unit Conversion];"Convert and standardize the Length measurement to centimeters (cm). 
If the width is not already in cm, convert it from inches, mm, meters, yards, or feet to cm.
If no unit is specified, assume the measurement is in inches.
For width ranges, use the larger value in the range for conversion.
Output the final width value as a single numeric figure in cm, rounded to one decimal place.
Exclude any unit indicators in the output.";"1 inch = 2.54 cm
1 foot = 30.48 cm
1 yard = 91.44 cm
1 mm = 0.1cm
1 m = 100cm";"[""Numeric"", ""Numeric with Fraction"", ""Numeric with Decimal"", ""Numeric with Unit"", ""Numeric with Fraction with Unit"", ""Numeric with Decimal with Unit"", ""Free Text""]";Numeric with Decimal;80;55,36;"73"" - 84"", 108"", 72"", 85"" - 96"", 19-3/4"", 38"", 31-1/2"", 132"", 46"", 9.77"", 14-1/2"", 85-1/8"", 96"", 18"", 23-1/2"", 60"", 54"" - 62"", 39, 42"", 55"", 60', 119"", 117"", 124"", 1000 ft, 30"", 48"", 13"", 648"", 30-1/2"", 7, 47"", 72, 121"" - 132"", 84"", 71"", 15"", 47, 62"", 130 ft, 14"", 133"" - 144"", 24"", 28, 54"", 32-3/8"", 36.25"", 262 ft, n/a, 35"", 90"", 144"", 16"", 10"", 69"", 53"", 32"", 68"", 27"", 20"", 59"", 22-1/2"", 95"", 24, 9"", 36-1/4"", 26, 120"", 24-7/8"", 36.5"", 38.5"", 30"" - 35, 36"", 4 ft., 30"" - 35"", 7 1/2, 109"" - 120"", 36"" - 38"", 1000ft, 28"""
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Depth;dimensions;The 'Depth' attribute determines the depth of the product. It can be measured in inches, cm, feet or meters.;"* If unit is provided, its added
* Do not include ""D"" identifier -> redundant ";[Unit Conversion];"Convert and standardize the Depth measurement to centimeters (cm). 
If the width is not already in cm, convert it from inches, mm, meters, yards, or feet to cm.
If no unit is specified, assume the measurement is in inches.
For width ranges, use the larger value in the range for conversion.
Output the final width value as a single numeric figure in cm, rounded to one decimal place.
Exclude any unit indicators in the output.";"1 inch = 2.54 cm
1 foot = 30.48 cm
1 yard = 91.44 cm
1 mm = 0.1cm
1 m = 100cm";"[""Numeric"", ""Numeric with Fraction"", ""Numeric with Decimal"", ""Numeric with Unit"", ""Numeric with Fraction with Unit"", ""Numeric with Decimal with Unit"", ""Free Text""]";Numeric with Decimal;48;74,59;"20"", 22-1/2"", 47-1/4, 14"", 13-3/4"", 38"", 11 3/4, 5-5/8"", 22, 25"", 12"", 2.75"", 32-3/4"", 24"", 8"", 19"", 5"", 20-3/4"", 9-7/8"", 21-3/16"", 30, 12-5/8, 18, 29"", 18-9/16"", 47 1/4, 21"", 17-7/8"", 36"", 18"", 96"", n/a, 42, 28-1/4"", 29, 7"", 2-1/2"", 16-1/2"", 27-3/4"", 10"", 15"", 33-1/2"", 26"", 23.5"", 2-3/4"", 11-3/4"", 17.5"", 30"""
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Gauge;material_design;The 'Gauge' attribute refers to the measurement of thickness or diameter, typically of materials like metal, wire, or sheeting. It influences the strength, flexibility, and suitability of a material for specific applications. ;* Is annotated as numeric value only, often mentioned as [digit]-ga or in combination with Stainless Steel Series, sperated by Slash.;None;None;None;"[""Numeric"", ""Numeric with Unit""]";None;10;75,14;26, 14, 16, n/a, 24, 13 Micron, 20, 12, 18, 10 Micron
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Material;material_design;The 'Material' attribute determines a fundamental aspect that defines the quality, durability, aesthetic appeal, and functionality of products. Different materials are suited for various applications and environments, and understanding their properties is key to selecting the right product for a specific need. ;"* Material refers to the substance that the item is made of, or applicable material that can be used on the item. 
* Longest substring rule: Include details about material if applicable (e.g. ""welded aluminum"", not ""aluminum"")
* Material does not describe separate parts of the item";None;None;None;"[""Free Text"", ""Free Text with Numeric""]";None;131;12,64;"s/s, cast-iron, Vinyl Polyproylene, chromate, latex-free vinyl, end grain Cherry, insulated plastic, fine bone china, Brush, Drift Wood, Steel, copper, epoxy coated steel, resin nylon, Epoxy Coated, crystal, silver plated, Granite Gray, balance aluminized steel, recycled fibers, Polycarbonate, pumice, impact resistant plastic, architectural bronze, PVC, Ceramics; Enamel; Fiberglass; Glass; Metal; Plastic, Plastic with Metal, polished steel, chrome, Ceramics; Enamel; Fiberglass; Glass; Laminates; Metal; Plastic; Vinyl, mar-proof plastic, Sodium Carbonate, gray, sugarcane fibers, stainless steel, epoxy, ABS, drift wood, Formosa resins, galvanized steel, Wood Veneer, tempered glass, catalyzed lacquer, structural foam, walnut, Fabric, aluminum, Pumice, Crystal, Masonite, Latex-Free Vinyl, granite, Mahogany, plastic lumber cedar, satin, low density resin, cast iron, styrene, thermoplastic, High-density polyethylene, glass filled polypropylene, steel/stone, Aluminum, Nonwoven Fiber, brushed steel, silverplated, glass, plastic, steel with stone, welded aluminum, laminate, Satin, metallics, crystal and textural ceramics, acanthus, Bone China, Ethyl alcohol 29.4%; other ingredients 70.6%, extruded aluminum, vinyl coated, Metal, Silverplated, Butyl; Cellosolve; Ethylene Glycol Monobutyl Ether; 2-Butoxyethanol Ethanol; Ethyl Alcohol, Melamine, epoxy coated, satin brass, foam, galvanized, Polymer, Paper, Glass, reinforced polypropylene, Natural Textiles; Synthetic Textiles; Carpet; Upholstery; Vinyl Composition Tile (VCT); Solid Vinyl Tile (SVT); Linoleum; Sheet Vinyl; Laminates; Terrazzo, steel, n/a, fully welded aluminum, Natural Cherry, non-corrosive composite, Plastic, resin polypropylene, polyurethane, aluminum steel, 34% post-consumer recycled content, 55% total recycled content, lacquer, fine crystal, brush, paper, polyethylene, Galvanized, Duramold resin and metal composite, Stainless Steel, A-grade hardwood veneer, Multi Surface, solid aluminum, nickel plated steel, high impact ABS, melamine, high impact plastic, hand crafted crystal, stain resistant, concrete, Ceramics; Enamel; Glass; Metal, Polyethylene, brushed graphite, brushed stainless steel, metal, polypropylene, Ethyl Alcohol, rigid plastic, Metal; Plastic; PVC, aluminized steel, polycarbonate, vinyl"
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Stainless Steel Series;identification;The 'Stainless Steel Series' determines the composition of the steel used in the product.;"* Annotated as a single number without redundand ""Series"" suffixes";None;None;None;"[""Numeric""]";None;7;75,56;1800, 2100, n/a, 430, 400, 300, 304
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Cooling;functional;The 'Cooling' attribute describes the cooling mechanism the product uses or the position of the cooling system in the product.;* Refers to the specific cooling mechanism used, not the refrigeration system.;None;None;None;"[""Free Text"", ""Free Text with Numeric""]";None;19;90,46;R-404 refrigerant, remote air-cooled, Overhead evaporator, Remote Cooled, optional Camchillers or Cold Fest, 10 circuit cold plate, water-cooled, Remote Air-Cooled, electric condensate evaporator, n/a, Air Cooled, self-contained refrigeration, air-cooled, remote condenser, remote-cooled, 7-Circuit Cold Plate, air-cooled, side-mounted, Air Cooler, 10-Circuit Cold Plate
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Splash;material_design;The 'Splash' attribute represents the size or capacity of a splash guard, splashback feature or the radius or coverage area. It also specifies the kind of Splash used.;"* Splash specifies 2 things (if applicable):
- The Height of the Splash (e.g. 5"")
- The Kind of the Splash (e.g. ""Backsplash"", ""Side Splash"")
- risers and edges are not to be considered here ";None;None;None;"[""Free Text"", ""Free Text with Numeric with Unit""]";None;34;77,78;"1.125"" Backsplash, without backsplash, Backsplash, 5"" splash at rear only, 5"" backsplash, 8"" high splash, splash at rear only, 5"" Backsplash, 10.5"" Backsplash, 6"" backsplash, backsplash, 10"" Backsplash, wrap-around splash guard, 10"" x 2"" back splash, 10"" backsplash, 9"" backsplash, 10-1/2"" backsplash on 59"" side only, n/a, 6-1/2""H backsplash, 10-1/2""H backsplash, 6"" splash, 10"" backsplash with 2"" return, 7"" Back Splash, 10-1/2"" backsplash, 7"" Back Splash, 12x26"" Base Splash, 2"" Backsplash, 7"" backsplash, 11""H backsplash, 11"" high splash, 10-1/2""H backsplash one side, without splash, 4"" O.C. splash mount, 2"" backsplash, 5""H backsplash"
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Shape;dimensions;The 'Shape' attribute describes how a product fits into a space, how it is used, and the overall style. It can also apply to the shape of the objects it produces, for example for Ice Machines.;"* The Shape can refer to the shape of the item itself, or, in case of Ice Makers, it can refer to the shape of the ice that it produces. If ""Shape"" is eplicitly mentioned, it is not part of the annotation -> redundant";None;None;None;"[""Free Text""]";None;43;77,24;cylinder, Straight Sided, Flake Style, cube or Chewblet, u-shaped, Round, Cube, Square, Rectangle, rounded corners, Flake-Style, flake-style, U Shape, cubelet style, boat shape, crescent cube style, half round, Crescent Cube, NUGGET Style, Crescent Cube-Style, n/a, crescent style cube, L-shaped, Nugget, L Shaped, Oval, Nugget Style, L-Shape, Rectangular, cube style, Cubes, elliptical cuts, Cube-Style, International, round, Cube Style, sq, curved, square, Cubelet-Style, rectangular, cube, Nugget-Style
